# Resampling Filter (for graphing)
#
# filter = SincFast
# window = SincFast
# support = 3
# window-support = 3
# scale-blur = 1
# practical-support = 3

 0.00	1
 0.01	0.999817
 0.02	0.999269
 0.03	0.998356
 0.04	0.997079
 0.05	0.995438
 0.06	0.993435
 0.07	0.991071
 0.08	0.988349
 0.09	0.985269
 0.10	0.981835
 0.11	0.978048
 0.12	0.973913
 0.13	0.969431
 0.14	0.964605
 0.15	0.959441
 0.16	0.95394
 0.17	0.948108
 0.18	0.941949
 0.19	0.935466
 0.20	0.928665
 0.21	0.921551
 0.22	0.914128
 0.23	0.906403
 0.24	0.898381
 0.25	0.890067
 0.26	0.881468
 0.27	0.872589
 0.28	0.863438
 0.29	0.85402
 0.30	0.844343
 0.31	0.834413
 0.32	0.824238
 0.33	0.813824
 0.34	0.803179
 0.35	0.792311
 0.36	0.781226
 0.37	0.769934
 0.38	0.758441
 0.39	0.746757
 0.40	0.734888
 0.41	0.722843
 0.42	0.710631
 0.43	0.69826
 0.44	0.685738
 0.45	0.673075
 0.46	0.660277
 0.47	0.647355
 0.48	0.634317
 0.49	0.621171
 0.50	0.607927
 0.51	0.594593
 0.52	0.581178
 0.53	0.567691
 0.54	0.554141
 0.55	0.540536
 0.56	0.526886
 0.57	0.513198
 0.58	0.499483
 0.59	0.485748
 0.60	0.472002
 0.61	0.458254
 0.62	0.444513
 0.63	0.430786
 0.64	0.417083
 0.65	0.403411
 0.66	0.389779
 0.67	0.376195
 0.68	0.362667
 0.69	0.349203
 0.70	0.33581
 0.71	0.322497
 0.72	0.309272
 0.73	0.29614
 0.74	0.283111
 0.75	0.27019
 0.76	0.257385
 0.77	0.244703
 0.78	0.23215
 0.79	0.219734
 0.80	0.20746
 0.81	0.195334
 0.82	0.183363
 0.83	0.171552
 0.84	0.159907
 0.85	0.148434
 0.86	0.137137
 0.87	0.126022
 0.88	0.115094
 0.89	0.104357
 0.90	0.0938159
 0.91	0.0834747
 0.92	0.0733375
 0.93	0.0634082
 0.94	0.0536903
 0.95	0.0441874
 0.96	0.0349025
 0.97	0.0258387
 0.98	0.0169987
 0.99	0.00838499
 1.00	-5.50888e-16
 1.01	-0.00815421
 1.02	-0.0160758
 1.03	-0.023763
 1.04	-0.0312144
 1.05	-0.0384287
 1.06	-0.0454051
 1.07	-0.0521425
 1.08	-0.0586405
 1.09	-0.0648986
 1.10	-0.0709167
 1.11	-0.0766948
 1.12	-0.0822331
 1.13	-0.0875321
 1.14	-0.0925923
 1.15	-0.0974147
 1.16	-0.102
 1.17	-0.10635
 1.18	-0.110466
 1.19	-0.114349
 1.20	-0.118001
 1.21	-0.121424
